URL,Title,H1,Meta Description,Meta Keywords
https://weirandsons.ie,Home page | Weir & Sons,,"Weir & Sons: Ireland's premier destination for luxury watches, jewellery, and gifts. Shop online or visit our flagship store in Dublin.","Home Page, Weir & Sons, Jewellery, Luxury Jewellery, Fine Jewellery, Luxury Watches, Fashion Watches, Designer Watches, Designer Brands, Antique Silverware, China & Glassware"
https://weirandsons.ie/appointments,Appointments,Appointments,Book your appointment with our expert team and discover the perfect piece of jewellery or watch at Weir & Sons. Schedule your visit today.,"Magento, Varien, E-commerce"
https://weirandsons.ie/service-and-repairs,Watch & Jewellery Repairs and Service at Weir & Sons,Repairs & Service,Trust Weir & Sons' experienced watchmakers for all your servicing and repair needs. Book your appointment today.,"Jewellery Repairs, Watch Repairs, Watch Service, Luxury Watches, Jewellery, Weir & Sons "
https://weirandsons.ie/,Home page | Weir & Sons,,"Weir & Sons: Ireland's premier destination for luxury watches, jewellery, and gifts. Shop online or visit our flagship store in Dublin.","Home Page, Weir & Sons, Jewellery, Luxury Jewellery, Fine Jewellery, Luxury Watches, Fashion Watches, Designer Watches, Designer Brands, Antique Silverware, China & Glassware"
https://weirandsons.ie/our-stores/,Our Stores,Our Stores,Weir And Sons Our Stores,"Magento, Varien, E-commerce"
https://weirandsons.ie/wishlist/,Welcome to Weir & Sons,Welcome to Weir & Sons,,"Magento, Varien, E-commerce"
https://weirandsons.ie/rolex,Rolex | Weir & Sons,,"Rolex watches are crafted from the finest raw materials and assembled with scrupulous attention to detail. Every component is designed, developed and produced to the most exacting standards. Experience a Rolex at Weir & Sons. ","Rolex, Luxury Watches, Watches, Dublin, Weir & Sons, Swiss-Made Watches"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=air-king,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=cellini,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=cosmograph-daytona,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=datejust,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=day-date,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=explorer,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=gmt-master-ii,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=lady-datejust,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=milgauss,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=oyster-perpetual,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=sea-dweller,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=sky-dweller,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=submariner,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection?cmplp=rolex-watches&cmpfa=yacht-master,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/collection,"Rolex Watch Collection | Weir & Sons Dublin, Ireland",,,"Magento, Varien, E-commerce"
https://weirandsons.ie/new-watches-2022,New Rolex Watches 2022,,Find the latest Rolex watch arrivals for 2022 at Weir & Sons. Discover the newest collections and styles from this iconic brand.,"Magento, Varien, E-commerce"
https://weirandsons.ie/history,Rolex History,,Discover the history of Rolex and its iconic timepieces. Explore our collection and learn more at Weir & Sons.,"Magento, Varien, E-commerce"
https://weirandsons.ie/servicing-your-rolex,Servicing Your Rolex,,Entrust your Rolex to the experts at Weir & Sons for a professional service that maintains its value and performance.,"Magento, Varien, E-commerce"
https://weirandsons.ie/contact-us,Contact Us,Contact Us,,"Magento, Varien, E-commerce"
https://weirandsons.ie/blog/search/?q=Rolex,Search results for: 'Rolex',Search results for: 'Rolex',Blog,Blog
https://weirandsons.ie/rolex/contact-us,Contact Us,,Looking for a new Rolex watch? Contact our specialists at Weir & Sons and discover the latest collections and styles.,"Magento, Varien, E-commerce"
https://weirandsons.ie/patek-philippe,Patek Philippe | Weir & Sons,,"Discover the timeless elegance of Patek Philippe's Twenty collection, available exclusively at Weir & Sons. Browse our selection of luxury watches today.
","Patek Philippe, Luxury Watches, Watches, Dublin, Weir & Sons, Patek Philippe, Patek, Philippe, watch, watches, luxury watch, luxury men's watches, luxury, Calatrava, Chronograph, Aquanaut, Swiss watch, patek phillippe, "
https://weirandsons.ie/patek-philippe/annual-calendar.html,Annual Calendar - Patek Philippe,Annual Calendar,"Elevate your watch game with the sophisticated style of Patek Philippe's Annual Calendar collection, available exclusively at Weir & Sons. Shop now.","Annual calendar, annual, calendar, patek philippe annual calendar, patek annual calendar, philippe annual calendar, patek philippe"
https://weirandsons.ie/patek-philippe/aquanaut.html,Aquanaut - Patek Philippe,Aquanaut,"The Patek Philippe Aquanaut is a sporty and versatile collection of watches designed for both men and women. Known for its practicality, durability and attention to detail. The watches are characterized by its octagonal shape case and distinctive texture on the dial known as the ""tropical"" pattern. The Aquanaut collection is built to withstand the rigors of an active lifestyle and is water resistant up to 120 meters (393ft) and is suitable for swimming, snorkelling and other water-related activities. The collection comes in different materials such as stainless steel, yellow gold, rose gold, white gold and even a combination of them with a rubber strap or bracelet that provides both comfort and durability. The watches are powered by an in-house automatic movement ensuring precision and reliability. The Patek Philippe Aquanaut is a perfect choice for those who appreciate both style and function in their timepiece.","aquanaut, patek philippe aquanaut, patek aquanaut, philippe aquanaut, aquanaut watch, aquanaut watches, patek philippe aquanaut watch, patek philippe aquanaut watches, patek aquanaut watches, philippe aquanaut watches, luxury watch"
https://weirandsons.ie/patek-philippe/calatrava.html,Calatrava - Patek Philippe,Calatrava,"The Patek Philippe Calatrava is a timeless classic in the world of luxury watches. Known for its elegant design and exceptional craftsmanship, the Calatrava is a true statement piece. The clean lines and simple yet sophisticated aesthetic of this model make it a perfect choice for any occasion, whether formal or casual. The watch is powered by an in-house mechanical self-winding movement, which guarantees precision and reliability. The case is made of precious materials such as yellow, rose or white gold and in some cases steel and are paired with fine leather strap or a metal bracelet. The Calatrava line of watches is synonymous with Patek Philippe's commitment to quality, tradition, and timeless design. This watch is sure to be a treasure in your collection for many years to come.","Calatrava, calatrava, patek calatrava, patek philippe calatrava, philippe calatrava, calatrava watch, calatrava watches calatrava patek philippe watch"
https://weirandsons.ie/patek-philippe/nautilus.html,Nautilus - Patek Philippe,Nautilus,"The Patek Philippe Nautilus is a sporty and sophisticated collection of watches, known for its unique design, durability and water resistance. The Nautilus is characterized by its distinctive porthole-inspired case shape and is available in various materials such as stainless steel, white gold, rose gold or yellow gold. The collection features a range of models that cater to different tastes, from classic time-only versions to more complicated models like the chronograph and the perpetual calendar. The watches are powered by in-house mechanical movements, ensuring precision and reliability. The Nautilus line also features various different straps and bracelet options, including the iconic Nautilus bracelet, known for its comfort and durability. The Patek Philippe Nautilus is a perfect watch for those who appreciate both style and function, and want a timepiece that can withstand the rigors of an active lifestyle. These watches are true iconic and still desired by collectors and enthusiasts.","nautilus, patek nautilus, philippe nautilus, patek philippe nautilus, patek philippe nautilus watch, patek nautilus watch, philippe nautilus watch"
